body_part_examined,snomed_code,code_meaning,fma_code,umls_cui
CHEEK,60819002,Cheek,,C0007966
CHEST,816094009,Chest,,C5230958
CHESTABDOMEN,416550000,Chest and Abdomen,,C1442171
CHESTABDPELVIS,416775004,"Chest, Abdomen and Pelvis",,C1562547
CHOROIDPLEXUS,80621003,Choroid plexus,61934,C0008524
CIRCLEOFWILLIS,11279006,Circle of Willis,,C0008812
CLAVICLE,51299004,Clavicle,,C0008913
COCCYX,64688005,Coccyx,,C0009194
COLON,71854001,Colon,,C0009368
COMILIACA,73634005,Common iliac artery,,C1261084
COMILIACV,46027005,Common iliac vein,,C0226758
COMMONBILEDUCT,79741001,Common bile duct,,C0009437
CORNEA,28726007,Cornea,,C0010031
CORONARYARTERY,41801008,Coronary artery,,C0205042
CORONARYSINUS,90219004,Coronary sinus,,C0456944
CSPINE,122494005,Cervical spine,,C0728985
CTSPINE,1217257000,Cervico-thoracic spine,,C5687879
CULDESAC,53843000,Rectouterine pouch,,C0013075
DESCAORTA,281130003,Descending aorta,,C0011666
DESCENDINGCOLON,32622004,Descending colon,,C0227389
DIGIT,82680008,Digit,,C0582802
DUODENUM,38848004,Duodenum,,C0013303
EAC,84301002,External auditory canal,,C0013444
EAR,117590005,Ear,,C0013443
ECA,22286001,External carotid artery,,C0007275
ELBOW,16953009,Elbow joint,,C0013770
ENDOARTERIAL,51114001,Endo-arterial,,C0003842
ENDOCARDIAC,80891009,Endo-cardiac,,C0018787
ENDOESOPHAGEAL,32849002,Endo-esophageal,,C0014876
ENDOMETRIUM,2739003,Endometrium,,C0014180
ENDONASAL,53342003,Endo-nasal,,C0225425
ENDONASOPHARYNYX,18962004,Endo-nasopharyngeal,,C0225497
ENDORECTAL,34402009,Endo-rectal,,C0034896
ENDORENAL,64033007,Endo-renal,,C0022646
ENDOURETERIC,87953007,Endo-ureteric,,C0041951
ENDOURETHRAL,13648007,Endo-urethral,,C0041967
ENDOVAGINAL,76784001,Endo-vaginal,,C0042232
ENDOVASCULAR,59820001,Endo-vascular,,C0005847
ENDOVENOUS,29092000,Endo-venous,,C0042449
ENDOVESICAL,48367006,Endo-vesical,,C0227710
EPIDIDYMIS,87644002,Epididymis,18255,C0014533
EPIGASTRIC,27947004,Epigastric region,,C0230185
ESOPHAGUS,32849002,Esophagus,,C0014876
EXTILIACA,113269004,External iliac artery,,C0226398
EXTILIACV,63507001,External iliac vein,,C0226761
EXTJUGV,71585003,External jugular vein,13110,C0226543
EXTREMITY,66019005,Extremity,,C0015385
EYE,81745001,Eye,,C0015392
EYELID,80243003,Eyelid,,C0015426
FACE,89545001,Face,,C0015450
FACIALA,23074001,Facial artery,,C0226109
FEMORALA,7657000,Femoral artery,,C0015801
FEMORALV,83419000,Femoral vein,,C0015809
FEMUR,71341001,Femur,,C0015811
FIBULA,87342007,Fibula,,C0016068
FINGER,7569003,Finger,,C0016129
FLANK,58602004,Flank,,C0230171
FONTANEL,79361005,Fontanel of skull,,C0224548
FOOT,56459004,Foot,,C0016504
FOREARM,14975008,Forearm,,C0016536
FOREFETLOCK,13190002,Fetlock of forelimb,,C0521445
FOREFOOT,419176008,Forefoot,,C1630649
FORENAVICULAR,30518006,Navicular of forefoot,,C0223724
FOREPASTERN,31329001,Pastern of forefoot,,C0230368
FRONTALSINUS,55060009,Frontal sinus,,C0016734
GALLBLADDER,28231008,Gallbladder,,C0016976
GASTRICV,110568007,Gastric vein,,C0750610
GENICULARA,128559007,Genicular artery,,C0447108
GESTSAC,300571009,Gestational sac,,C0577295
GLUTEAL,46862004,Gluteal region,,C0006497
GSV,60734001,Great saphenous vein,21376,C0392907
HAND,85562004,Hand,,C0018563
HEAD,69536005,Head,,C0018670
HEADNECK,774007,Head and Neck,,C0460004
HEART,80891009,Heart,,C0018787
HEPATICA,76015000,Hepatic artery,,C0019145
HEPATICV,8993003,Hepatic vein,,C0019155
HINDFETLOCK,113351006,Fetlock of hindlimb,,C0521446
HINDFOOT,416804009,Hindfoot,,C0230459
HINDNAVICULAR,75772009,Navicular of hindfoot,,C0223947
HINDPASTERN,18525008,Pastern of hindfoot,,C0230455
HIP,24136001,Hip joint,,C0019558
HUMERUS,85050009,Humerus,,C0020164
HYPOGASTRIC,11708003,Hypogastric region,,C0230189
HYPOPHARYNX,81502006,Hypopharynx,,C0020629
IAC,361078006,Internal Auditory Canal,,C1283773
ICA,86117002,Internal carotid artery,,C0007276
ILEUM,34516001,Ileum,,C0020885
ILIACA,10293006,Iliac artery,,C0020887
ILIACV,244411005,Iliac vein,,C0020888
ILIUM,22356005,Ilium,,C0020889
INFMESA,33795007,Inferior mesenteric artery,,C0162860
INFVENACAVA,64131007,Inferior vena cava,,C0042458
INGUINAL,26893007,Inguinal region,,C0018246
INNOMINATEA,12691009,Innominate artery,,C0006094
INNOMINATEV,8887007,Innominate vein,,C0006095
INTILIACA,90024005,Internal iliac artery,,C0226364
INTJUGULARV,12123001,Internal jugular vein,,C0226550
INTMAMMARYA,69327007,Internal mammary artery,,C0226276
INTRACRANIAL,1101003,Intracranial,,C0230041
JAW,661005,Jaw region,,C3887617
JEJUNUM,21306003,Jejunum,,C0022378
JOINT,39352004,Joint,,C0022417
KIDNEY,64033007,Kidney,,C0022646
KNEE,72696002,Knee,,C0022742
LACRIMALA,59749000,Lacrimal artery,,C0226171
LARGEINTESTINE,14742008,Large intestine,,C0021851
LARYNX,4596009,Larynx,,C0023078
LATRIUM,82471001,Left atrium,,C0225860
LATVENTRICLE,66720007,Lateral Ventricle,78448,C0152279
LEGS,42694008,All legs,,C0230331
LFEMORALA,113270003,Left femoral artery,,C0226448
LHEPATICV,273202007,Left hepatic vein,14339,C0226708
LHYPOCHONDRIAC,133945003,Left hypochondriac region,,C0738591
LINGUALA,113264009,Lingual artery,,C0226104
LINGUINAL,85119005,Left inguinal region,,C0230321
LIVER,10200004,Liver,,C0023884
LLQ,68505006,Left lower quadrant of abdomen,,C0230180
LLUMBAR,1017210004,Left lumbar region,,C5439491
LOWERLEG,30021000,Lower leg,,C1140621
LOWERLIMB,61685007,Lower limb,,C0023216
LOWERTRUNK,63337009,Lower trunk,,C0230094
LPORTALV,70253006,Left portal vein,15415,C0933785
LPULMONARYA,50408007,Left pulmonary artery,,C0226069
LSPINE,122496007,Lumbar spine,,C0024091
LSSPINE,1217253001,Lumbo-sacral spine,,C5687876
LSUPPULMONARYV,43863001,Superior left pulmonary vein,,C0226682
LUMBAR,52612000,Lumbar region,,C0024090
LUMBARA,34635009,Lumbar artery,,C0226408
LUMEN,91747007,Lumen of blood vessel,,C0524424
LUNG,39607008,Lung,,C0024109
LUQ,86367003,Left upper quadrant of abdomen,,C0230179
LVENTRICLE,87878005,Left ventricle,,C0225897
MANDIBLE,91609006,Mandible,,C0024687
MASTOID,59066005,Mastoid bone,,C0446908
MAXILLA,70925003,Maxilla,,C0024947
MCA,17232002,Middle cerebral artery,50079,C0149566
MEDIASTINUM,72410000,Mediastinum,,C0025066
MESENTRICA,86570000,Mesenteric artery,,C0025465
MESENTRICV,128583004,Mesenteric vein,,C0025473
METACARPUS,36455000,Metacarpus,,C0025526
METATARSUS,280711000,Metatarsus,,C0025590
MIDHEPATICV,273099000,Middle hepatic vein,14340,C0226707
MORISONSPOUCH,243977002,Morisons pouch,,C0446609
MOUTH,123851003,Mouth,,C0230028
NASOPHARYNX,360955006,Nasopharynx,,C1283682
NECK,45048000,Neck,,C0027530
NECKCHEST,417437006,Neck and Chest,,C1562459
NECKCHESTABDOMEN,416152001,"Neck, Chest and Abdomen",,C1562378
NECKCHESTABDPELV,416319003,"Neck, Chest, Abdomen and Pelvis",,C1562776
NOSE,45206002,Nose,,C0028429
OCCIPTALV,32114007,Occipital vein,,C0226579
OCCPITALA,31145008,Occipital artery,,C0226117
OPHTHALMICA,53549008,Ophthalmic artery,,C0029078
OPTICCANAL,55024004,Optic canal,,C0450102
ORBIT,363654007,Orbital structure,,C0029180
OVARY,15497006,Ovary,,C0029939
PANCBILEDUCT,110621006,Pancreatic duct and bile duct systems,,C1267614
PANCREAS,15776009,Pancreas,,C0030274
PANCREATICDUCT,69930009,Pancreatic duct,,C0030288
PARASTERNAL,91691001,Parasternal,,C0458345
PARATHYROID,111002,Parathyroid,,C0030518
PAROTID,45289007,Parotid gland,,C0030580
PATELLA,64234005,Patella,,C0030647
PCA,70382005,Posterior cerebral artery,50583,C0149576
PELVIS,816092008,Pelvis,,C5230955
PELVISLOWEXTREMT,1231522001,Pelvis and lower extremities,,C5688969
PENILEA,282044005,Penile artery,66318,C0559907
PENIS,18911002,Penis,,C0030851
PERINEUM,38864007,Perineum,,C0031066
PERONEALA,8821006,Peroneal artery,,C0226476
PHANTOM,706342009,Phantom,,C0282611
PHARYNX,54066008,Pharynx,,C0031354
PHARYNXLARYNX,312535008,Pharynx and larynx,,C0729889
PLACENTA,78067005,Placenta,,C0032043
POPLITEALA,43899006,Popliteal artery,,C0032649
POPLITEALFOSSA,32361000,Popliteal fossa,,C0230436
POPLITEALV,56849005,Popliteal vein,44327,C0032652
PORTALV,32764006,Portal vein,66645,C0032718
POSCOMMA,43119007,Posterior communicating artery,,C0149559
POSTIBIALA,13363002,Posterior tibial artery,,C0086835
PROFFEMA,31677005,Profunda femoris artery,20741,C0226455
PROFFEMV,23438002,Profunda femoris vein,51041,C0226841
PROSTATE,41216001,Prostate,,C0033572
PULMONARYA,81040000,Pulmonary artery,,C0034052
PULMONARYV,122972007,Pulmonary vein,,C0034090
RADIALA,45631007,Radial artery,,C0162857
RADIUS,62413002,Radius,,C0034627
RADIUSULNA,110535000,Radius and ulna,,C1267080
RATRIUM,73829009,Right atrium,,C0225844
RECTUM,34402009,Rectum,,C0034896
RENALA,2841007,Renal artery,,C0035065
RENALV,56400007,Renal vein,,C0035092
RETROPERITONEUM,82849001,Retroperitoneum,,C0035359
RFEMORALA,69833005,Right femoral artery,,C0226447
RHEPATICV,272998002,Right hepatic vein,14338,C0226706
RHYPOCHONDRIAC,133946002,Right hypochondriac region,,C0738590
RIB,113197003,Rib,,C0035561
RINGUINAL,37117007,Right inguinal region,,C0230318
RLQ,48544008,Right lower quadrant of abdomen,,C0230178
RLUMBAR,1017211000,Right lumbar region,,C5439490
RPORTALV,73931004,Right portal vein,15414,C0226730
RPULMONARYA,78480002,Right pulmonary artery,,C0226054
RSUPPULMONARYV,8629005,Superior right pulmonary vein,,C0226671
RUQ,50519007,Right upper quadrant of abdomen,,C0230177
RVENTRICLE,53085002,Right ventricle,,C0225883
SAPHENOUSV,362072009,Saphenous vein,,C0036186
SCALP,41695006,Scalp,,C0036270
SCAPULA,79601000,Scapula,,C0036277
SCJOINT,7844006,Sternoclavicular joint,,C0038291
SCLERA,18619003,Sclera,,C0036410
SCROTUM,20233005,Scrotum,,C0036471
SELLA,42575006,Sella turcica,,C0036609
SEMVESICLE,64739004,Seminal vesicle,19386,C0036628
SESAMOID,58742003,Sesamoid bones of foot,,C0278418
SFA,181349008,Superficial femoral artery,323777,C0447106
SFJ,128587003,Saphenofemoral junction,,C0447132
SFV,397364003,Superficial femoral vein,,C1301369
SHOULDER,16982005,Shoulder,,C0037004
SIGMOID,60184004,Sigmoid colon,,C0227391
SIJOINT,39723000,Sacroiliac joint,,C0036036
SKULL,89546000,Skull,,C0037303
SMA,42258001,Superior mesenteric artery,,C0162861
SMALLINTESTINE,30315005,Small intestine,,C0021852
SPINALCORD,2748008,Spinal cord,,C0037925
SPINE,421060004,Spine,,C0037949
SPLEEN,78961009,Spleen,,C0037993
SPLENICA,22083002,Splenic artery,,C0037996
SPLENICV,35819009,Splenic vein,,C0038001
SSPINE,54735007,Sacrum,,C0036037
STERNUM,56873002,Sternum,,C0038293
STIFLE,116010006,Stiffle,,C1456798
STOMACH,69695003,Stomach,,C0038351
SUBCLAVIANA,36765005,Subclavian artery,,C0038530
SUBCLAVIANV,9454009,Subclavian vein,,C0038532
SUBCOSTAL,19695001,Subcostal,,C0442184
SUBMANDIBULAR,54019009,Submandibular gland,,C0038556
SUPRACLAVICULAR,77621008,Supraclavicular region of neck,,C0230078
SUPRAPUBIC,11708003,Suprapubic region,,C0230189
SUPTHYROIDA,72021004,Superior thyroid artery,,C0226093
SVC,48345005,Superior vena cava,,C0042459
TAIL,18149002,Coccygeal vertrebrae,,C0223616
TARSUS,108371006,Tarsus,,C0039316
TESTIS,40689003,Testis,,C0039597
THALAMUS,42695009,Thalamus,62007,C0039729
THIGH,68367000,Thigh,,C0039866
THORACICAORTA,113262008,Thoracic aorta,,C1522460
THORAX,816094009,Chest,,C5230958
THUMB,76505004,Thumb,,C0040067
THYMUS,9875009,Thymus,,C0040113
THYROID,69748006,Thyroid,,C0040132
TIBIA,12611008,Tibia,,C0040184
TIBIAFIBULA,110536004,Tibia and fibula,,C0224692
TLSPINE,1217256009,Thoraco-lumbar spine,,C5687878
TMJ,53620006,Temporomandibular joint,,C0039493
TOE,29707007,Toe,,C0040357
TONGUE,21974007,Tongue,,C0040408
TRACHEA,44567001,Trachea,,C0040578
TRACHEABRONCHUS,110726009,Trachea and bronchus,,C1268276
TRANSVERSECOLON,485005,Transverse colon,,C0227386
TRUNK,22943007,Trunk,,C0460005
TSPINE,122495006,Thoracic spine,,C0581269
UGITRACT,62834003,Upper gastro-intestinal tract,,C3203348
ULNA,23416004,Ulna,,C0041600
ULNARA,44984001,Ulnar artery,,C0162858
UMBILICAL,90290004,Umbilical region,,C0041638
UMBILICALA,50536004,Umbilical artery,,C0041632
UMBILICALV,284639000,Umbilical vein,,C0226734
UPPERARM,40983000,Upper arm,,C0446516
UPPERLIMB,53120007,Upper limb,,C1140618
UPPERTRUNK,67734004,Upper trunk,,C0230093
UPRURINARYTRACT,431491007,Upper urinary tract,,C2317509
URETER,87953007,Ureter,,C0041951
URETHRA,13648007,Urethra,,C0041967
URINARYTRACT,431938005,Urinary tract,,C2316969
UTERUS,35039007,Uterus,,C0042149
VAGINA,76784001,Vagina,,C0042232
VEIN,29092000,Vein,,C0042449
VERTEBRALA,85234005,Vertebral artery,,C0042559
VULVA,45292006,Vulva,,C0042993
WHOLEBODY,38266002,Entire body,,C0229960
WING,53036007,Wing,,C0043189
WRIST,74670003,Wrist joint,,C1322271
ZYGOMA,13881006,Zygoma,,C0043539
